docdb_family_id,earliest_year,office,bloc,family_size,similarity,ai_score,found_by_query,band,era,g06n,cluster,neuro,ml
15429406,1989,JP,JP,2,0.7285,0.6973,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
22727595,1971,US,US,13,0.7285,0.6855,cross:ECoG grid|attention monitoring,E,pre2010,0,,0,0
22760753,1971,US,US,1,0.7285,0.6855,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
22901925,2002,US,US,1,0.7285,0.6777,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
23573656,1982,US,US,1,0.7285,0.6895,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
24219027,1975,US,US,1,0.7285,0.6816,cross:ECoG grid|attention monitoring,E,pre2010,0,,0,0
27016084,1985,US,US,1,0.7285,0.6895,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
27295609,1991,US,US,1,0.7285,0.0,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
32175985,2002,US,US,1,0.7285,0.6816,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
34594005,2004,US,US,1,0.7285,0.6973,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
38691781,2006,US,US,6,0.7285,0.6973,cross:ECoG grid|attention monitoring,E,pre2010,0,,,
39833171,2007,JP,JP,1,0.7285,0.0,cross:ECoG grid|attention monitoring,E,pre2010,0,,0,0
42145105,2010,US,US,4,0.7285,0.6973,cross:ECoG grid|attention monitoring,E,2010s,0,,,
43827714,2010,WO,WO,1,0.7285,0.6777,cross:ECoG grid|attention monitoring,E,2010s,0,,,
7667065,2000,DE,EP,4,0.7285,0.6855,cross:MEG|motor restoration,E,pre2010,0,,,
12551826,1976,JP,JP,1,0.7285,0.6816,cross:MEG|motor restoration,E,pre2010,0,,,
12888657,1975,JP,JP,1,0.7285,0.6855,cross:MEG|motor restoration,E,pre2010,0,,,
15665657,1975,JP,JP,1,0.7285,0.6934,cross:MEG|motor restoration,E,pre2010,0,,,
17082281,1993,JP,JP,1,0.7285,0.0,cross:MEG|motor restoration,E,pre2010,0,,,
20195175,1998,AU,OTHER,2,0.7285,0.0,cross:MEG|motor restoration,E,pre2010,0,,,
22549787,2000,JP,JP,3,0.7285,0.0,cross:MEG|motor restoration,E,pre2010,0,,,
23164436,1989,US,US,1,0.7285,0.6641,cross:MEG|motor restoration,E,pre2010,0,,,
23354144,1982,US,US,1,0.7285,0.668,cross:MEG|motor restoration,E,pre2010,0,,,
34258688,2003,DE,EP,3,0.7285,0.6641,cross:MEG|motor restoration,E,pre2010,0,,,
37693587,2006,US,US,1,0.7285,0.0,cross:MEG|motor restoration,E,pre2010,0,,,
39628311,2008,EP,EP,6,0.7285,0.0,cross:MEG|motor restoration,E,pre2010,0,,,
42931903,2010,FR,EP,5,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
50513142,2014,JP,JP,5,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,0,0
51626990,2013,US,US,1,0.7285,0.6875,cross:MEG|motor restoration,E,2010s,0,,,
52131495,2013,US,US,3,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
53544569,2015,US,US,1,0.7285,0.7051,cross:MEG|motor restoration,E,2010s,0,,,
54141658,2015,US,US,1,0.7285,0.0,cross:MEG|motor restoration,E,2010s,0,,,
